doc_id,text,platform
155,zino magnanakaw peru pangnakukulong,youtube
156,lagi nangaaway laging galit markubeta,youtube
157,kita sen marcoleta salita itigil agad lacson sotto,youtube
158,hnd sen marcoleta umopo mangyayari paikot ikot nlng pinag takpan cla,youtube
159,kanang salita marcoleta du30 tinatakpan kang kridibilidad,youtube
160,nka red jacket likod ksabwat marcoleta sesenyas,youtube
161,bastos nitong ping lacson lalo nyang mali cya nakakahiya totoo opinion nanalo tito sotto kiko pangilinan bam aquino,youtube
162,ipakulong tunay nanakaw,youtube
163,talagang matapos nato sangkot makulong kulong,youtube
164,still voting corrupt politicians suffering,youtube
165,country justice system fvcked nahhhh,youtube
166,tapusin tanong ejercito bkit ayaw sen lacson halata one mastermind iligaw iligaw isyu ngkagulio,youtube
167,marcoleta sugo diablo taga pagtanggol kawatan,youtube
168,sige away,youtube
169,marcoleta nagpapansin foul ball pretending knowledgeable hambog pretentious kami belib,youtube
170,busit katalaga marcobeta hinde muna patapusin sisen ping,youtube
171,mukhang pera kayong kayong puso baka bato inyong puso,youtube
172,wait kayong matauhan,youtube
173,takot pinky lacson,youtube
174,sinira mayabang marcoleta,youtube
175,marcobeta investigated must jail involved pdaf scam involved destabilization present gov,youtube
176,matalino marcoleta naging bobo forum tinanong yun sagut lacaon privadong mamayan chairman nasubrahan talino nagiging bobo minsan,youtube
177,pinky pinky pinky,youtube
178,marcoleta konra bida,youtube
179,sen ping time invistagation douths time belong truly served truly served servant working jesus name amen,youtube
180,lason lacson lalabas katotohan mannaig masama kabutihan hayop kyo kapangyarihan,youtube
181,paikot ikot tanong tanong hanggang tanong parin nangyayari tagal,youtube
182,sarap iuntog pader marcobeta,youtube
183,kupal pagulo,youtube
184,tae marcolit pinipilit tae mabaho nha,youtube
185,yinatakpan marcolta tunay cover magnanakaw nakita galawan,youtube
186,keeps holding long hearings outside trying survive begging food fighting day heartbreaking government already released funds supposed protect support communities yet results ground empty lots unfinished promises see families drowning struggle politicians argue circles feels one actually moving need help,youtube
187,marcoleta gumugulo pinagtatakpan,youtube
188,waiting days seeing nothing frustrating accountability shouldn take long,youtube
189,buang kang lacsona,youtube
190,pinoy style engr anyare tanggal lisensy,youtube
191,lusot maniwala congress uusap meron pang executive session saan,youtube
192,amo asawa marcoleta asawa,youtube
193,kasuhan marcoleta sinugaling pati saln ginagago pilipino,youtube
194,kasuhan marcoleta sinugaling pati saln ginagago pilipino,youtube
195,kulong kasbwat sinasayang oras namen punpasweldo,youtube
196,attitude marcoleta kamukha,youtube
197,japan korapsyon gobyerno nagpapakamatay politiko dame pakiot dame plot twist tang ina nangyayari gago,youtube
198,lawson,youtube
199,hapit laman gihapon nanagot,youtube
200,away away kunwari loob mapakita concern,youtube
201,lolokahan nlng,youtube
202,ginawa lacson basqhin gutezw halata tama marcelta,youtube
203,marcoleta nagpapagulo tinanggal marcoleta gusto pang humirit samantalang pekeng duteza hatak ayaw lumabas patay,youtube
204,hettsora remolla magkano pera cover scamer leader kaso desmis kolong matenong boang kana,youtube
205,lacson away kaagad yabang imbestiga npakulong,youtube
206,boang lacson kenakampehan cover lacson soto kayong pakenabang magkano epatawag romaldes salde pangasinan hoy,youtube
207,naten maraming dalang bagahe tong dds ubod rereklamo sarili,youtube
208,kabastusan yon ginawa ping pong pinatapos muna sinasabi sen marcoleta pinapakita bayan kong klasi pagkatao,youtube
209,pagulo tatang,youtube
210,lacs sumpungin inawayan bumalik kinain isinukha chair,youtube
211,napakabastos bulldog marcobeta,youtube
212,marco presiding officer,youtube
213,missed chat,youtube
214,andaming imbestigasyon ebidensya makulong corrupt bagal pagapapatupad batas pinas,youtube
215,diyos bahala nagsisinungaling,youtube
216,hay naku,youtube
217,alagang alaga remulla katabi,youtube
218,talagang isinama romualdez boying script,youtube
219,remulla halatado,youtube
220,halatang script,youtube
221,sen marcoleta wisdom handling please let speak,youtube
222,binabasang script katabi remulla,youtube
223,alisin boy pelukq ginawa kundi mang gulo protektahan dds,youtube
224,philippines palitan,youtube
225,worry official already moved assets america,youtube
226,gagong lacson kinikilingan,youtube
227,panggolo marcoleta kala pinakamagaling,youtube
228,markolikta pang pagulo lumayas markolikta,youtube
229,panggulo marcolecta abogado magnanakaw,youtube
230,bobo,youtube
231,house representatives hor magkamatayan protect kanilang members contractors senado pilit magkamatayan laglag kasamahan senado malamang interesado run pagiging presidente kapal laglagan kasamahan,youtube
232,mababawi nanakaw hanggat bbm presidente sigurado turo iba strategy tulad nitong marcoleta pauto,youtube
233,nakakasakit ulo opinion pinaka ugat hin magkasundo dami pang kailangan gawin dumating bagyong tibno uwan andyn padin aaway away papapatalo manok sayang oras araw daming naghihirapap natatapos maibalik pera bayan nakakaiyak nakakaawa pilipino,youtube
234,dpt ikulong lht cla pra ndi pamarisan maraming politician pra kinabukasan susunod henerasyon kpayapaan pilipinas,youtube
235,naging gahaman salapi tumanggap suhol pinairal katarungan samuel magandang balita biblia habang iba mahimbing natutulog tuwing umuulan matandang babae namamangka sariling bahay baha humuhupa itsura lupa gabi gabi takot kasama mapahinga habang kalunos lunos kalagayan nakaupong panatag tuyong dako pagod kabibilang salapi ginugol katulad ilang kailangang ilubog bago tumigil pangungurakot pagnanakaw kaban bayan katahimikan gabi maririnig hinaing maraming pilipinong nilulunod sakim,youtube
236,ayaw halos imbistigasyon marcolita mkpg salita iba gusto nlng salita npk bastos,youtube
237,lhat senador marcolita npk bastos mula conggreso hnggang senado nlng png gugulo,youtube
238,andaming kasinongalinga taega,youtube
239,ogag,youtube
